Node_ID,X,Y,Z,Temperature
192,0.607096,0.607096,0.154080,49.854352
193,0.488390,0.718859,0.000000,51.737019
194,0.163194,0.777507,-0.331543,55.503397
195,0.000000,0.834635,-0.172309,56.820916
196,0.331543,0.777507,-0.163194,53.689283
197,0.607096,0.607096,-0.154080,49.854352
198,0.459834,0.671748,-0.304941,52.304060
199,0.540039,0.540039,-0.419922,51.350432
200,0.304941,0.671748,-0.459834,54.306920
201,0.000000,0.718859,-0.488390,57.161870
202,-0.331543,0.777507,-0.163194,59.602853
203,-0.163194,0.777507,-0.331543,58.322060
204,-0.304941,0.671748,-0.459834,59.736004
205,-0.540039,0.540039,-0.419922,62.013456
206,-0.459834,0.671748,-0.304941,60.901258
207,-0.607096,0.607096,-0.154080,62.257009
208,-0.163194,-0.777507,-0.331543,68.010648
209,0.000000,-0.834635,-0.172309,65.620364
210,-0.172309,-0.834635,0.000000,69.859414
211,-0.331543,-0.777507,-0.163194,73.586202
212,-0.488390,-0.718859,0.000000,83.025674
213,-0.607096,-0.607096,-0.154080,84.256573
214,-0.459834,-0.671748,-0.304941,74.705254
215,-0.540039,-0.540039,-0.419922,72.969199
216,-0.304941,-0.671748,-0.459834,69.196997
217,0.000000,-0.718859,-0.488390,64.040915
218,0.331543,-0.777507,-0.163194,59.390695
219,0.172309,-0.834635,0.000000,62.504523
220,0.163194,-0.777507,-0.331543,62.069060
221,0.304941,-0.671748,-0.459834,59.141713
222,0.540039,-0.540039,-0.419922,54.594764
223,0.459834,-0.671748,-0.304941,56.646746
224,0.607096,-0.607096,-0.154080,53.392925
225,0.488390,-0.718859,0.000000,56.344832
226,0.163194,-0.777507,0.331543,62.069060
227,0.000000,-0.834635,0.172309,65.620364
228,0.331543,-0.777507,0.163194,59.390695
229,0.607096,-0.607096,0.154080,53.392925
230,0.459834,-0.671748,0.304941,56.646746
231,0.540039,-0.540039,0.419922,54.594764
232,0.304941,-0.671748,0.459834,59.141713
233,0.000000,-0.718859,0.488390,64.040915
234,-0.331543,-0.777507,0.163194,73.586202
235,-0.163194,-0.777507,0.331543,68.010648
236,-0.304941,-0.671748,0.459834,69.196997
237,-0.540039,-0.540039,0.419922,72.969199
238,-0.459834,-0.671748,0.304941,74.705254
239,-0.607096,-0.607096,0.154080,84.256573
240,0.777507,-0.331543,0.163194,45.972195
241,0.834635,-0.172309,0.000000,36.790076
242,0.834635,0.000000,0.172309,36.334359
243,0.777507,-0.163194,0.331543,45.473389
244,0.718859,0.000000,0.488390,48.005420
245,0.671748,-0.304941,0.459834,50.611016
246,0.671748,-0.459834,0.304941,51.139754
247,0.718859,-0.488390,0.000000,49.499418
248,0.777507,-0.163194,-0.331543,45.473389
249,0.834635,0.000000,-0.172309,36.334359
250,0.777507,-0.331543,-0.163194,45.972195
251,0.671748,-0.459834,-0.304941,51.139754
252,0.671748,-0.304941,-0.459834,50.611016
253,0.718859,0.000000,-0.488390,48.005420
254,0.777507,0.331543,-0.163194,44.240126
255,0.834635,0.172309,0.000000,35.916222
256,0.777507,0.163194,-0.331543,44.627027
257,0.671748,0.304941,-0.459834,48.941114
258,0.671748,0.459834,-0.304941,48.592141
259,0.718859,0.488390,0.000000,46.852922
260,0.777507,0.163194,0.331543,44.627027
261,0.777507,0.331543,0.163194,44.240126
262,0.671748,0.459834,0.304941,48.592141
263,0.671748,0.304941,0.459834,48.941114
264,-0.777507,-0.331543,-0.163194,75.221149
265,-0.834635,-0.172309,0.000000,72.426284
266,-0.834635,0.000000,-0.172309,69.133893
267,-0.777507,-0.163194,-0.331543,70.427582
268,-0.718859,0.000000,-0.488390,67.138419
269,-0.671748,-0.304941,-0.459834,70.593822
270,-0.671748,-0.459834,-0.304941,75.465563
271,-0.718859,-0.488390,0.000000,83.832042
272,-0.777507,-0.163194,0.331543,70.427582
